Date,LKOH,ROSN
2016-01-04,2310.2,251.0
2016-01-05,2380.0,253.2
2016-01-06,2378.0,252.4
2016-01-11,2257.9,241.05
2016-01-12,2223.5,239.9
2016-01-13,2225.0,239.6
2016-01-14,2188.9,237.65
2016-01-15,2098.0,232.1
2016-01-18,2112.1,232.0
2016-01-19,2150.0,236.05
2016-01-20,2145.3,231.9
2016-01-21,2212.8,237.5
2016-01-22,2340.9,250.4
2016-01-25,2349.0,255.0
2016-01-26,2320.0,255.9
2016-01-27,2400.5,264.4
2016-01-28,2495.0,267.35
2016-01-29,2569.0,272.45
2016-02-01,2547.0,269.8
2016-02-02,2491.0,271.8
2016-02-03,2475.5,273.1
2016-02-04,2553.5,283.0
2016-02-05,2594.0,281.55
2016-02-08,2482.5,276.05
2016-02-09,2387.5,268.6
2016-02-10,2382.5,265.5
2016-02-11,2392.0,264.85
2016-02-12,2396.0,270.7
2016-02-15,2429.0,271.0
2016-02-16,2450.0,277.4
2016-02-17,2467.0,279.9
2016-02-18,2565.0,283.35
2016-02-19,2540.0,278.4
2016-02-20,2529.0,276.95
2016-02-22,2610.0,285.0
2016-02-24,2550.0,281.7
2016-02-25,2551.5,279.5
2016-02-26,2587.0,283.3
2016-02-29,2686.0,287.6
2016-03-01,2699.0,289.9
2016-03-02,2640.0,287.0
2016-03-03,2700.0,294.25
2016-03-04,2775.0,302.25
2016-03-07,2840.0,301.0
2016-03-09,2744.0,296.0
2016-03-10,2692.0,301.55
2016-03-11,2669.0,301.6
2016-03-14,2658.5,301.05
2016-03-15,2647.5,300.6
2016-03-16,2703.0,301.25
2016-03-17,2750.0,309.4
2016-03-18,2810.0,315.55
2016-03-21,2784.5,313.0
2016-03-22,2740.0,318.05
2016-03-23,2687.5,309.2
2016-03-24,2615.0,304.8
2016-03-25,2607.5,304.5
2016-03-28,2570.0,302.5
2016-03-29,2614.5,296.4
2016-03-30,2610.0,307.8
2016-03-31,2622.0,305.2
2016-04-01,2625.0,301.8
2016-04-04,2692.0,309.5
2016-04-05,2698.5,306.2
2016-04-06,2715.0,309.05
2016-04-07,2722.0,306.8
2016-04-08,2777.5,316.5
2016-04-11,2798.0,325.0
2016-04-12,2775.0,320.0
2016-04-13,2824.0,322.3
2016-04-14,2814.5,313.6
2016-04-15,2822.5,309.75
2016-04-18,2777.0,303.9
2016-04-19,2815.5,311.75
2016-04-20,2870.0,322.05
2016-04-21,2890.0,323.0
2016-04-22,2890.0,322.1
2016-04-25,2853.0,326.9
2016-04-26,2796.0,331.85
2016-04-27,2733.0,334.95
2016-04-28,2800.0,341.75
2016-04-29,2752.0,351.0
2016-05-04,2698.5,346.0
2016-05-05,2630.0,336.5
2016-05-06,2629.0,329.0
2016-05-10,2585.5,323.5
2016-05-11,2642.5,324.6
2016-05-12,2673.5,319.0
2016-05-13,2699.5,322.65
2016-05-16,2662.0,322.6
2016-05-17,2671.5,322.1
2016-05-18,2707.0,329.5
2016-05-19,2695.5,330.0
2016-05-20,2712.0,324.65
2016-05-23,2647.0,313.1
2016-05-24,2656.5,317.0
2016-05-25,2650.5,318.0
2016-05-26,2678.0,320.15
2016-05-27,2682.0,320.6
2016-05-30,2695.5,322.0
2016-05-31,2570.0,316.0
2016-06-01,2580.0,313.0
2016-06-02,2597.0,311.35
2016-06-03,2587.0,314.75
2016-06-06,2613.0,323.85
2016-06-07,2681.5,328.85
2016-06-08,2680.5,342.5
2016-06-09,2635.0,343.5
2016-06-10,2636.0,337.85
2016-06-14,2670.0,324.8
2016-06-15,2637.5,322.85
2016-06-16,2624.0,316.3
2016-06-17,2647.0,320.65
2016-06-20,2643.5,336.0
2016-06-21,2658.0,340.95
2016-06-22,2660.0,337.75
2016-06-23,2730.0,348.0
2016-06-24,2725.0,333.65
2016-06-27,2631.0,328.05
2016-06-28,2628.0,327.0
2016-06-29,2668.0,331.5
2016-06-30,2684.0,330.0
2016-07-01,2707.0,332.45
2016-07-04,2745.0,331.2
2016-07-05,2769.5,329.4
2016-07-06,2732.0,320.5
2016-07-07,2748.0,320.9
2016-07-08,2788.0,325.0
2016-07-11,2752.0,328.35
2016-07-12,2777.0,339.4
2016-07-13,2741.0,336.5
2016-07-14,2770.0,336.5
2016-07-15,2792.5,335.0
2016-07-18,2799.0,333.7
2016-07-19,2828.0,329.5
2016-07-20,2840.5,329.05
2016-07-21,2858.0,334.3
2016-07-22,2855.0,334.3
2016-07-25,2829.0,334.0
2016-07-26,2821.0,330.0
2016-07-27,2836.5,329.9
2016-07-28,2887.0,334.0
2016-07-29,2867.0,325.5
2016-08-01,2886.0,325.6
2016-08-02,2781.0,317.35
2016-08-03,2797.0,323.25
2016-08-04,2839.5,329.0
2016-08-05,2815.0,329.9
2016-08-08,2842.5,329.0
2016-08-09,2806.0,329.9
2016-08-10,2738.0,326.6
2016-08-11,2785.0,325.05
2016-08-12,2870.0,330.85
2016-08-15,2922.5,339.0
2016-08-16,2932.5,343.5
2016-08-17,2932.0,345.55
2016-08-18,2956.5,351.85
2016-08-19,2948.0,349.05
2016-08-22,2985.0,351.75
2016-08-23,3014.0,351.0
2016-08-24,3035.0,350.2
2016-08-25,3049.0,348.2
2016-08-26,3025.0,350.55
2016-08-29,2990.5,350.6
